Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
598,04/10/2020 08:05:54 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
599,04/10/2020 08:05:54 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
600,04/10/2020 08:05:54 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84868,2000,Sell,1.1900,,,,0.00000,0.0000,1,2.04000,,2173.95
601,04/10/2020 08:05:54 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
602,04/10/2020 08:05:54 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
603,04/10/2020 08:05:54 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84868,2000,Sell,1.1900,,,,0.00000,0.0000,1,2.04000,,2175.99
604,04/10/2020 08:05:54 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
605,04/10/2020 10:21:21 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
606,04/10/2020 10:21:21 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84931,2000,Sell,0.6400,,,,0.00000,0.0000,1,2.02000,,2178.01
607,04/10/2020 10:21:21 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
608,04/10/2020 10:22:51 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
609,04/10/2020 10:22:51 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84955,2000,Sell,0.5700,,,,0.00000,0.0000,1,2.28000,,2180.29
610,04/10/2020 10:22:51 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
611,04/10/2020 10:23:01 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
612,04/10/2020 10:23:01 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84974,2000,Sell,0.6000,,,,0.00000,0.0000,1,2.06000,,2182.35
613,04/10/2020 10:23:01 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
614,04/10/2020 10:35:31 AM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Sell,,,,,,,,,,
615,04/10/2020 10:35:31 AM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84999,2000,Sell,0.6100,,,,0.00000,0.0000,1,2.18000,,2184.53
616,04/10/2020 10:35:31 AM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
617,04/10/2020 01:39:58 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
618,04/10/2020 01:39:58 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84885,2000,Buy,1.6100,,,,0.00000,0.0000,,0.00000,,2184.53
619,04/10/2020 01:39:58 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83739,,,,,,,,,,,,
620,04/10/2020 01:39:58 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
621,04/10/2020 01:49:08 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
622,04/10/2020 01:49:08 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84966,2000,Buy,1.2900,,,,0.00000,0.0000,,0.00000,,2184.53
623,04/10/2020 01:49:08 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83820,,,,,,,,,,,,
624,04/10/2020 01:49:08 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
625,04/10/2020 02:06:10 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
626,04/10/2020 02:06:10 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84982,2000,Buy,2.0000,,,,0.00000,0.0000,,0.00000,,2184.53
627,04/10/2020 02:06:10 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83864,,,,,,,,,,,,
628,04/10/2020 02:06:10 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
629,04/10/2020 04:24:29 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Sell,,,,,,,,,,
630,04/10/2020 04:24:29 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84931,2000,Sell,2.0000,,,,0.00000,0.0000,,0.00000,,2184.53
631,04/10/2020 04:24:29 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.86078,,,,,,,,,,,,
632,04/10/2020 04:24:29 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
633,04/10/2020 04:32:40 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Sell,,,,,,,,,,
634,04/10/2020 04:32:40 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84950,2000,Sell,2.0000,,,,0.00000,0.0000,,0.00000,,2184.53
635,04/10/2020 04:32:40 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.86097,,,,,,,,,,,,
636,04/10/2020 04:32:40 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
637,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,,2184.53
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 451,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 458,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 477,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 501,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 618,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 622,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 626,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 630,NZD/CAD,,,,,,,,0.00000,,,,,
,04/10/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 634,NZD/CAD,,,,,,,,0.00000,,,,,
638,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,,2184.53
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 451,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 458,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 477,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 501,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 618,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 622,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 626,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 630,NZD/CAD,,,,,,,,0.00000,,,,,
,04/11/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 634,NZD/CAD,,,,,,,,0.00000,,,,,
639,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,,2184.53
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 451,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 458,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 477,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 501,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 618,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 622,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 626,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 630,NZD/CAD,,,,,,,,0.00000,,,,,
,04/12/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 634,NZD/CAD,,,,,,,,0.00000,,,,,
640,04/12/2020 08:59:07 PM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Buy,,,,,,,,,,
641,04/12/2020 08:59:07 PM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84813,2000,Buy,0.4900,,,,0.00000,0.0000,1,2.74000,,2187.27
642,04/12/2020 08:59:07 PM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
643,04/12/2020 08:59:07 PM,AST,MARKET_ORDER,TRADE_CLOSE,NZD/CAD,,2000,Buy,,,,,,,,,,
644,04/12/2020 08:59:07 PM,AST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CAD,0.84813,2000,Buy,0.4800,,,,0.00000,0.0000,1,2.36000,,2189.63
645,04/12/2020 08:59:07 PM,AST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
